alt_idx,answer,answer_label,condition,mean_logprob,num_answer_tokens,source_idx,sum_logprob,task,token_logprobs
29989_1993.txt_employees_count_total_56,35000,original,orig_clean,-5.410964012145996,2,104669_1993.txt_employees_count_total_83,-10.821928024291992,employees_count_total,"[-10.820898056030273, -0.001029557315632701]"
29989_1993.txt_employees_count_total_56,35000,original,cf_clean,-11.03764533996582,2,104669_1993.txt_employees_count_total_83,-22.07529067993164,employees_count_total,"[-20.466739654541016, -1.608551025390625]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_clean,-5.160117149353027,2,104669_1993.txt_employees_count_total_83,-10.320234298706055,employees_count_total,"[-10.306583404541016, -0.013650521636009216]"
29989_1993.txt_employees_count_total_56,35000,original,cf_qr_ablate,-4.911028861999512,2,104669_1993.txt_employees_count_total_83,-9.822057723999023,employees_count_total,"[-7.706268787384033, -2.1157891750335693]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_qr_ablate,-4.867925643920898,2,104669_1993.txt_employees_count_total_83,-9.735851287841797,employees_count_total,"[-7.425018787384033, -2.3108325004577637]"
29989_1993.txt_employees_count_total_56,35000,original,patch_qr,-4.796232223510742,2,104669_1993.txt_employees_count_total_83,-9.592464447021484,employees_count_total,"[-7.994999885559082, -1.5974640846252441]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_qr,-2.6862072944641113,2,104669_1993.txt_employees_count_total_83,-5.372414588928223,employees_count_total,"[-4.362187385559082, -1.0102272033691406]"
29989_1993.txt_employees_count_total_56,35000,original,patch_random,-4.871577262878418,2,104669_1993.txt_employees_count_total_83,-9.743154525756836,employees_count_total,"[-7.654094696044922, -2.089059829711914]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_random,-4.8576250076293945,2,104669_1993.txt_employees_count_total_83,-9.715250015258789,employees_count_total,"[-7.427532196044922, -2.2877180576324463]"
29989_1993.txt_employees_count_total_56,35000,original,patch_bottom,-4.911812782287598,2,104669_1993.txt_employees_count_total_83,-9.823625564575195,employees_count_total,"[-7.707835674285889, -2.115790367126465]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_bottom,-4.866836071014404,2,104669_1993.txt_employees_count_total_83,-9.733672142028809,employees_count_total,"[-7.418773174285889, -2.314899206161499]"
29989_1993.txt_employees_count_total_56,35000,original,patch_same_layer,-5.258028984069824,2,104669_1993.txt_employees_count_total_83,-10.516057968139648,employees_count_total,"[-8.304679870605469, -2.2113780975341797]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_same_layer,-5.152971267700195,2,104669_1993.txt_employees_count_total_83,-10.30594253540039,employees_count_total,"[-7.804680347442627, -2.5012619495391846]"
71180_1993.txt_employees_count_total_214,3712,original,orig_clean,-4.414548397064209,2,103392_1993.txt_employees_count_total_176,-8.829096794128418,employees_count_total,"[-8.828457832336426, -0.0006388768670149148]"
71180_1993.txt_employees_count_total_214,3712,original,cf_clean,-7.875133991241455,2,103392_1993.txt_employees_count_total_176,-15.75026798248291,employees_count_total,"[-11.084420204162598, -4.6658477783203125]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,cf_clean,-3.8704593181610107,2,103392_1993.txt_employees_count_total_176,-7.7409186363220215,employees_count_total,"[-7.7406697273254395, -0.0002488780301064253]"
71180_1993.txt_employees_count_total_214,3712,original,cf_qr_ablate,-6.298860549926758,2,103392_1993.txt_employees_count_total_176,-12.597721099853516,employees_count_total,"[-9.278094291687012, -3.3196263313293457]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,cf_qr_ablate,-4.3478288650512695,2,103392_1993.txt_employees_count_total_176,-8.695657730102539,employees_count_total,"[-8.614031791687012, -0.0816260576248169]"
71180_1993.txt_employees_count_total_214,3712,original,patch_qr,-6.0074462890625,2,103392_1993.txt_employees_count_total_176,-12.014892578125,employees_count_total,"[-9.442036628723145, -2.5728564262390137]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_qr,-2.6926820278167725,2,103392_1993.txt_employees_count_total_176,-5.385364055633545,employees_count_total,"[-5.3795366287231445, -0.005827461369335651]"
71180_1993.txt_employees_count_total_214,3712,original,patch_random,-6.300201416015625,2,103392_1993.txt_employees_count_total_176,-12.60040283203125,employees_count_total,"[-9.276951789855957, -3.323451519012451]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_random,-4.34208869934082,2,103392_1993.txt_employees_count_total_176,-8.68417739868164,employees_count_total,"[-8.605076789855957, -0.07910069078207016]"
71180_1993.txt_employees_count_total_214,3712,original,patch_bottom,-6.294308662414551,2,103392_1993.txt_employees_count_total_176,-12.588617324829102,employees_count_total,"[-9.274724960327148, -3.313892364501953]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_bottom,-4.342214584350586,2,103392_1993.txt_employees_count_total_176,-8.684429168701172,employees_count_total,"[-8.602849960327148, -0.08157914131879807]"
71180_1993.txt_employees_count_total_214,3712,original,patch_same_layer,-6.55034065246582,2,103392_1993.txt_employees_count_total_176,-13.10068130493164,employees_count_total,"[-9.43460464477539, -3.666076898574829]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_same_layer,-4.55515193939209,2,103392_1993.txt_employees_count_total_176,-9.11030387878418,employees_count_total,"[-9.03616714477539, -0.07413691282272339]"
104669_1993.txt_employees_count_total_83,2260,original,orig_clean,-2.547231674194336,2,55387_1993.txt_employees_count_total_10,-5.094463348388672,employees_count_total,"[-5.092572212219238, -0.0018911350052803755]"
104669_1993.txt_employees_count_total_83,2260,original,cf_clean,-10.472957611083984,2,55387_1993.txt_employees_count_total_10,-20.94591522216797,employees_count_total,"[-15.314451217651367, -5.631463050842285]"
104669_1993.txt_employees_count_total_83,35000,counterfactual,cf_clean,-4.076559066772461,2,55387_1993.txt_employees_count_total_10,-8.153118133544922,employees_count_total,"[-8.119138717651367, -0.03397894650697708]"
104669_1993.txt_employees_count_total_83,2260,original,cf_qr_ablate,-5.784037113189697,2,55387_1993.txt_employees_count_total_10,-11.568074226379395,employees_count_total,"[-7.781369209289551, -3.7867047786712646]"
104669_1993.txt_employees_count_total_83,35000,counterfactual,cf_qr_ablate,-4.928189277648926,2,55387_1993.txt_employees_count_total_10,-9.856378555297852,employees_count_total,"[-7.586056709289551, -2.270321846008301]"
104669_1993.txt_employees_count_total_83,2260,original,patch_qr,-6.409549713134766,2,55387_1993.txt_employees_count_total_10,-12.819099426269531,employees_count_total,"[-7.765814304351807, -5.053285598754883]"
104669_1993.txt_employees_count_total_83,35000,counterfactual,patch_qr,-2.408121347427368,2,55387_1993.txt_employees_count_total_10,-4.816242694854736,employees_count_total,"[-4.367376804351807, -0.44886571168899536]"
104669_1993.txt_employees_count_total_83,2260,original,patch_random,-5.835604667663574,2,55387_1993.txt_employees_count_total_10,-11.671209335327148,employees_count_total,"[-7.833347797393799, -3.8378615379333496]"
104669_1993.txt_employees_count_total_83,35000,counterfactual,patch_random,-4.980092525482178,2,55387_1993.txt_employees_count_total_10,-9.960185050964355,employees_count_total,"[-7.661472797393799, -2.2987124919891357]"
104669_1993.txt_employees_count_total_83,2260,original,patch_bottom,-5.7814555168151855,2,55387_1993.txt_employees_count_total_10,-11.562911033630371,employees_count_total,"[-7.776731491088867, -3.786179304122925]"
104669_1993.txt_employees_count_total_83,35000,counterfactual,patch_bottom,-4.923610687255859,2,55387_1993.txt_employees_count_total_10,-9.847221374511719,employees_count_total,"[-7.573606491088867, -2.2736144065856934]"
104669_1993.txt_employees_count_total_83,2260,original,patch_same_layer,-6.032055854797363,2,55387_1993.txt_employees_count_total_10,-12.064111709594727,employees_count_total,"[-8.145661354064941, -3.918450355529785]"
104669_1993.txt_employees_count_total_83,35000,counterfactual,patch_same_layer,-5.369632720947266,2,55387_1993.txt_employees_count_total_10,-10.739265441894531,employees_count_total,"[-8.294098854064941, -2.44516658782959]"
812427_1993.txt_employees_count_total_248,4151,original,orig_clean,-4.040112018585205,2,745287_1993.txt_employees_count_total_38,-8.08022403717041,employees_count_total,"[-8.080177307128906, -4.6967357775429264e-05]"
812427_1993.txt_employees_count_total_248,4151,original,cf_clean,-15.80372142791748,2,745287_1993.txt_employees_count_total_38,-31.60744285583496,employees_count_total,"[-23.47319793701172, -8.134244918823242]"
812427_1993.txt_employees_count_total_248,29900,counterfactual,cf_clean,-5.922430038452148,2,745287_1993.txt_employees_count_total_38,-11.844860076904297,employees_count_total,"[-11.844291687011719, -0.0005688241217285395]"
812427_1993.txt_employees_count_total_248,4151,original,cf_qr_ablate,-6.4037322998046875,2,745287_1993.txt_employees_count_total_38,-12.807464599609375,employees_count_total,"[-8.96029281616211, -3.8471713066101074]"
812427_1993.txt_employees_count_total_248,29900,counterfactual,cf_qr_ablate,-4.4151482582092285,2,745287_1993.txt_employees_count_total_38,-8.830296516418457,employees_count_total,"[-8.49154281616211, -0.33875367045402527]"
812427_1993.txt_employees_count_total_248,4151,original,patch_qr,-9.850899696350098,2,745287_1993.txt_employees_count_total_38,-19.701799392700195,employees_count_total,"[-15.06310749053955, -4.6386919021606445]"
812427_1993.txt_employees_count_total_248,29900,counterfactual,patch_qr,-3.852322578430176,2,745287_1993.txt_employees_count_total_38,-7.704645156860352,employees_count_total,"[-7.688107490539551, -0.016537727788090706]"
812427_1993.txt_employees_count_total_248,4151,original,patch_random,-6.407253742218018,2,745287_1993.txt_employees_count_total_38,-12.814507484436035,employees_count_total,"[-8.9660062789917, -3.848500967025757]"
812427_1993.txt_employees_count_total_248,29900,counterfactual,patch_random,-4.357215404510498,2,745287_1993.txt_employees_count_total_38,-8.714430809020996,employees_count_total,"[-8.3800687789917, -0.3343617022037506]"
812427_1993.txt_employees_count_total_248,4151,original,patch_bottom,-6.403728485107422,2,745287_1993.txt_employees_count_total_38,-12.807456970214844,employees_count_total,"[-8.958066940307617, -3.8493895530700684]"
812427_1993.txt_employees_count_total_248,29900,counterfactual,patch_bottom,-4.4221696853637695,2,745287_1993.txt_employees_count_total_38,-8.844339370727539,employees_count_total,"[-8.504941940307617, -0.33939775824546814]"
812427_1993.txt_employees_count_total_248,4151,original,patch_same_layer,-6.581716537475586,2,745287_1993.txt_employees_count_total_38,-13.163433074951172,employees_count_total,"[-9.29397201538086, -3.8694605827331543]"
812427_1993.txt_employees_count_total_248,29900,counterfactual,patch_same_layer,-4.912901401519775,2,745287_1993.txt_employees_count_total_38,-9.82580280303955,employees_count_total,"[-9.43459701538086, -0.3912062346935272]"
716006_1993.txt_employees_count_total_118,4200,original,orig_clean,-3.3897738456726074,2,277821_1993.txt_employees_count_total_156,-6.779547691345215,employees_count_total,"[-6.779158592224121, -0.00038890427094884217]"
716006_1993.txt_employees_count_total_118,4200,original,cf_clean,-9.561233520507812,2,277821_1993.txt_employees_count_total_156,-19.122467041015625,employees_count_total,"[-15.004016876220703, -4.1184492111206055]"
716006_1993.txt_employees_count_total_118,35000,counterfactual,cf_clean,-4.628350734710693,2,277821_1993.txt_employees_count_total_156,-9.256701469421387,employees_count_total,"[-9.254016876220703, -0.0026848006527870893]"
716006_1993.txt_employees_count_total_118,4200,original,cf_qr_ablate,-5.8123064041137695,2,277821_1993.txt_employees_count_total_156,-11.624612808227539,employees_count_total,"[-9.282920837402344, -2.3416919708251953]"
716006_1993.txt_employees_count_total_118,35000,counterfactual,cf_qr_ablate,-5.03864860534668,2,277821_1993.txt_employees_count_total_156,-10.07729721069336,employees_count_total,"[-8.853233337402344, -1.2240639925003052]"
716006_1993.txt_employees_count_total_118,4200,original,patch_qr,-5.265036582946777,2,277821_1993.txt_employees_count_total_156,-10.530073165893555,employees_count_total,"[-7.320461273193359, -3.2096121311187744]"
716006_1993.txt_employees_count_total_118,35000,counterfactual,patch_qr,-1.9417662620544434,2,277821_1993.txt_employees_count_total_156,-3.8835325241088867,employees_count_total,"[-3.6017112731933594, -0.2818211317062378]"
716006_1993.txt_employees_count_total_118,4200,original,patch_random,-5.766936302185059,2,277821_1993.txt_employees_count_total_156,-11.533872604370117,employees_count_total,"[-9.20444107055664, -2.3294310569763184]"
716006_1993.txt_employees_count_total_118,35000,counterfactual,patch_random,-4.977356910705566,2,277821_1993.txt_employees_count_total_156,-9.954713821411133,employees_count_total,"[-8.69662857055664, -1.2580857276916504]"
716006_1993.txt_employees_count_total_118,4200,original,patch_bottom,-5.81342887878418,2,277821_1993.txt_employees_count_total_156,-11.62685775756836,employees_count_total,"[-9.27953815460205, -2.3473193645477295]"
716006_1993.txt_employees_count_total_118,35000,counterfactual,patch_bottom,-5.042649269104004,2,277821_1993.txt_employees_count_total_156,-10.085298538208008,employees_count_total,"[-8.84985065460205, -1.2354482412338257]"
716006_1993.txt_employees_count_total_118,4200,original,patch_same_layer,-6.009747505187988,2,277821_1993.txt_employees_count_total_156,-12.019495010375977,employees_count_total,"[-9.51578140258789, -2.503713607788086]"
716006_1993.txt_employees_count_total_118,35000,counterfactual,patch_same_layer,-5.325747013092041,2,277821_1993.txt_employees_count_total_156,-10.651494026184082,employees_count_total,"[-9.41421890258789, -1.237275242805481]"
71180_1993.txt_employees_count_total_214,76200,original,orig_clean,-5.419198513031006,2,732714_1993.txt_employees_count_total_169,-10.838397026062012,employees_count_total,"[-10.838052749633789, -0.00034421717282384634]"
71180_1993.txt_employees_count_total_214,76200,original,cf_clean,-11.517425537109375,2,732714_1993.txt_employees_count_total_169,-23.03485107421875,employees_count_total,"[-16.577800750732422, -6.457049369812012]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,cf_clean,-3.8748691082000732,2,732714_1993.txt_employees_count_total_169,-7.7497382164001465,employees_count_total,"[-7.749676704406738, -6.151010165922344e-05]"
71180_1993.txt_employees_count_total_214,76200,original,cf_qr_ablate,-6.933510780334473,2,732714_1993.txt_employees_count_total_169,-13.867021560668945,employees_count_total,"[-10.492975234985352, -3.3740458488464355]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,cf_qr_ablate,-4.602878093719482,2,732714_1993.txt_employees_count_total_169,-9.205756187438965,employees_count_total,"[-8.828912734985352, -0.37684327363967896]"
71180_1993.txt_employees_count_total_214,76200,original,patch_qr,-6.1687822341918945,2,732714_1993.txt_employees_count_total_169,-12.337564468383789,employees_count_total,"[-9.051644325256348, -3.2859201431274414]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_qr,-3.6352388858795166,2,732714_1993.txt_employees_count_total_169,-7.270477771759033,employees_count_total,"[-7.223519325256348, -0.046958521008491516]"
71180_1993.txt_employees_count_total_214,76200,original,patch_random,-6.893468856811523,2,732714_1993.txt_employees_count_total_169,-13.786937713623047,employees_count_total,"[-10.443265914916992, -3.3436717987060547]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_random,-4.572047233581543,2,732714_1993.txt_employees_count_total_169,-9.144094467163086,employees_count_total,"[-8.779203414916992, -0.3648907244205475]"
71180_1993.txt_employees_count_total_214,76200,original,patch_bottom,-6.942756652832031,2,732714_1993.txt_employees_count_total_169,-13.885513305664062,employees_count_total,"[-10.505484580993652, -3.38002872467041]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_bottom,-4.609925270080566,2,732714_1993.txt_employees_count_total_169,-9.219850540161133,employees_count_total,"[-8.841422080993652, -0.37842798233032227]"
71180_1993.txt_employees_count_total_214,76200,original,patch_same_layer,-7.128484725952148,2,732714_1993.txt_employees_count_total_169,-14.256969451904297,employees_count_total,"[-10.887592315673828, -3.369377374649048]"
71180_1993.txt_employees_count_total_214,1741,counterfactual,patch_same_layer,-4.890310764312744,2,732714_1993.txt_employees_count_total_169,-9.780621528625488,employees_count_total,"[-9.317279815673828, -0.46334147453308105]"
100923_1993.txt_employees_count_total_189,51250,original,orig_clean,-6.69541597366333,2,18230_1993.txt_employees_count_total_244,-13.39083194732666,employees_count_total,"[-13.390790939331055, -4.1126360883936286e-05]"
100923_1993.txt_employees_count_total_189,51250,original,cf_clean,-13.638460159301758,2,18230_1993.txt_employees_count_total_244,-27.276920318603516,employees_count_total,"[-17.734682083129883, -9.542238235473633]"
100923_1993.txt_employees_count_total_189,3570,counterfactual,cf_clean,-2.9085912704467773,2,18230_1993.txt_employees_count_total_244,-5.817182540893555,employees_count_total,"[-5.816712856292725, -0.00046957432641647756]"
100923_1993.txt_employees_count_total_189,51250,original,cf_qr_ablate,-7.313533782958984,2,18230_1993.txt_employees_count_total_244,-14.627067565917969,employees_count_total,"[-8.635483741760254, -5.991584300994873]"
100923_1993.txt_employees_count_total_189,3570,counterfactual,cf_qr_ablate,-6.1103057861328125,2,18230_1993.txt_employees_count_total_244,-12.220611572265625,employees_count_total,"[-11.416733741760254, -0.8038780689239502]"
100923_1993.txt_employees_count_total_189,51250,original,patch_qr,-8.058378219604492,2,18230_1993.txt_employees_count_total_244,-16.116756439208984,employees_count_total,"[-10.833819389343262, -5.282937049865723]"
100923_1993.txt_employees_count_total_189,3570,counterfactual,patch_qr,-4.357199192047119,2,18230_1993.txt_employees_count_total_244,-8.714398384094238,employees_count_total,"[-8.333819389343262, -0.3805793523788452]"
100923_1993.txt_employees_count_total_189,51250,original,patch_random,-7.308352470397949,2,18230_1993.txt_employees_count_total_244,-14.616704940795898,employees_count_total,"[-8.648157119750977, -5.968547344207764]"
100923_1993.txt_employees_count_total_189,3570,counterfactual,patch_random,-6.108633041381836,2,18230_1993.txt_employees_count_total_244,-12.217266082763672,employees_count_total,"[-11.402063369750977, -0.8152028322219849]"
100923_1993.txt_employees_count_total_189,51250,original,patch_bottom,-7.317018985748291,2,18230_1993.txt_employees_count_total_244,-14.634037971496582,employees_count_total,"[-8.642233848571777, -5.991804122924805]"
100923_1993.txt_employees_count_total_189,3570,counterfactual,patch_bottom,-6.115755081176758,2,18230_1993.txt_employees_count_total_244,-12.231510162353516,employees_count_total,"[-11.427390098571777, -0.8041201829910278]"
100923_1993.txt_employees_count_total_189,51250,original,patch_same_layer,-7.520740032196045,2,18230_1993.txt_employees_count_total_244,-15.04148006439209,employees_count_total,"[-8.987031936645508, -6.054448127746582]"
100923_1993.txt_employees_count_total_189,3570,counterfactual,patch_same_layer,-6.352510452270508,2,18230_1993.txt_employees_count_total_244,-12.705020904541016,employees_count_total,"[-11.807344436645508, -0.897676408290863]"
732714_1993.txt_employees_count_total_169,6101,original,orig_clean,-3.091269016265869,2,80661_1993.txt_employees_count_total_29,-6.182538032531738,employees_count_total,"[-6.1821746826171875, -0.0003632839070633054]"
732714_1993.txt_employees_count_total_169,6101,original,cf_clean,-11.901298522949219,2,80661_1993.txt_employees_count_total_29,-23.802597045898438,employees_count_total,"[-17.729429244995117, -6.073166847229004]"
732714_1993.txt_employees_count_total_169,76200,counterfactual,cf_clean,-5.286890029907227,2,80661_1993.txt_employees_count_total_29,-10.573780059814453,employees_count_total,"[-10.573179244995117, -0.0006007535266689956]"
732714_1993.txt_employees_count_total_169,6101,original,cf_qr_ablate,-6.893187522888184,2,80661_1993.txt_employees_count_total_29,-13.786375045776367,employees_count_total,"[-8.446900367736816, -5.339474678039551]"
732714_1993.txt_employees_count_total_169,76200,counterfactual,cf_qr_ablate,-5.453056812286377,2,80661_1993.txt_employees_count_total_29,-10.906113624572754,employees_count_total,"[-9.946900367736816, -0.9592132568359375]"
732714_1993.txt_employees_count_total_169,6101,original,patch_qr,-9.457300186157227,2,80661_1993.txt_employees_count_total_29,-18.914600372314453,employees_count_total,"[-12.713661193847656, -6.2009382247924805]"
732714_1993.txt_employees_count_total_169,76200,counterfactual,patch_qr,-4.7016191482543945,2,80661_1993.txt_employees_count_total_29,-9.403238296508789,employees_count_total,"[-9.362098693847656, -0.04113982245326042]"
732714_1993.txt_employees_count_total_169,6101,original,patch_random,-6.895956039428711,2,80661_1993.txt_employees_count_total_29,-13.791912078857422,employees_count_total,"[-8.462722778320312, -5.329188823699951]"
732714_1993.txt_employees_count_total_169,76200,counterfactual,patch_random,-5.462127685546875,2,80661_1993.txt_employees_count_total_29,-10.92425537109375,employees_count_total,"[-9.947097778320312, -0.9771573543548584]"
732714_1993.txt_employees_count_total_169,6101,original,patch_bottom,-6.8936991691589355,2,80661_1993.txt_employees_count_total_29,-13.787398338317871,employees_count_total,"[-8.446931838989258, -5.340466499328613]"
732714_1993.txt_employees_count_total_169,76200,counterfactual,patch_bottom,-5.453212738037109,2,80661_1993.txt_employees_count_total_29,-10.906425476074219,employees_count_total,"[-9.946931838989258, -0.9594939947128296]"
732714_1993.txt_employees_count_total_169,6101,original,patch_same_layer,-6.9675517082214355,2,80661_1993.txt_employees_count_total_29,-13.935103416442871,employees_count_total,"[-8.587517738342285, -5.347585678100586]"
732714_1993.txt_employees_count_total_169,76200,counterfactual,patch_same_layer,-5.696957588195801,2,80661_1993.txt_employees_count_total_29,-11.393915176391602,employees_count_total,"[-10.384392738342285, -1.0095221996307373]"
66740_1993.txt_employees_count_total_197,29900,original,orig_clean,-3.8915131092071533,2,812427_1993.txt_employees_count_total_248,-7.783026218414307,employees_count_total,"[-7.7814788818359375, -0.0015475689433515072]"
66740_1993.txt_employees_count_total_197,29900,original,cf_clean,-10.796932220458984,2,812427_1993.txt_employees_count_total_248,-21.59386444091797,employees_count_total,"[-14.532271385192871, -7.061593532562256]"
66740_1993.txt_employees_count_total_197,86168,counterfactual,cf_clean,-5.6023030281066895,2,812427_1993.txt_employees_count_total_248,-11.204606056213379,employees_count_total,"[-11.204146385192871, -0.0004592079494614154]"
66740_1993.txt_employees_count_total_197,29900,original,cf_qr_ablate,-6.899752616882324,2,812427_1993.txt_employees_count_total_248,-13.799505233764648,employees_count_total,"[-9.115473747253418, -4.6840314865112305]"
66740_1993.txt_employees_count_total_197,86168,counterfactual,cf_qr_ablate,-4.996917247772217,2,812427_1993.txt_employees_count_total_248,-9.993834495544434,employees_count_total,"[-9.576411247253418, -0.41742369532585144]"
66740_1993.txt_employees_count_total_197,29900,original,patch_qr,-7.419500350952148,2,812427_1993.txt_employees_count_total_248,-14.839000701904297,employees_count_total,"[-9.623950958251953, -5.2150492668151855]"
66740_1993.txt_employees_count_total_197,86168,counterfactual,patch_qr,-3.913513422012329,2,812427_1993.txt_employees_count_total_248,-7.827026844024658,employees_count_total,"[-7.788012981414795, -0.03901364281773567]"
66740_1993.txt_employees_count_total_197,29900,original,patch_random,-6.9731011390686035,2,812427_1993.txt_employees_count_total_248,-13.946202278137207,employees_count_total,"[-9.258803367614746, -4.687398910522461]"
