component_type,condition,metric,n,section,task,value
,answer_L31,median_margin_recovery,29,residual,ceo_lastname,1.7965793193850506
,answer_L30,median_margin_recovery,29,residual,ceo_lastname,1.7406535904872356
,answer_L29,median_margin_recovery,29,residual,ceo_lastname,1.498714299524157
,answer_L28,median_margin_recovery,29,residual,ceo_lastname,1.4126995485811733
,answer_L27,median_margin_recovery,29,residual,ceo_lastname,1.3898639864352549
,answer_L26,median_margin_recovery,29,residual,ceo_lastname,1.3442865710884986
,answer_L31,median_margin_recovery,13,residual,employees_count_total,1.2225813018151594
,answer_L30,median_margin_recovery,13,residual,employees_count_total,1.217965183030337
,answer_L25,median_margin_recovery,29,residual,ceo_lastname,1.2177578559071107
,answer_L28,median_margin_recovery,13,residual,employees_count_total,1.1992120397827726
,answer_L29,median_margin_recovery,13,residual,employees_count_total,1.1971925076247967
,answer_L24,median_margin_recovery,29,residual,ceo_lastname,1.1776670182738997
head_set,qr_top16,median_margin_recovery,13,component,employees_count_total,0.0033189889817627632
head_set,qr_top4,median_margin_recovery,13,component,employees_count_total,0.002055414852306897
head_set,qr_top16,median_margin_recovery,29,component,ceo_lastname,0.0011487617592779932
head_set,candidate_set,median_margin_recovery,13,component,employees_count_total,0.0008368300946964109
head_set,qr_top2,median_margin_recovery,13,component,employees_count_total,0.0008368300946964109
head,candidate_13-18,median_margin_recovery,13,component,employees_count_total,0.0006240947192335504
mlp,mlp_L5,median_margin_recovery,13,component,employees_count_total,0.0004490379081068423
mlp,mlp_L12,median_margin_recovery,13,component,employees_count_total,0.00044902595773652315
head,candidate_14-31,median_margin_recovery,29,component,ceo_lastname,0.0004274210782495296
head_set,qr_top1,median_margin_recovery,29,component,ceo_lastname,0.0004274210782495296
head,candidate_13-18,median_margin_recovery,29,component,ceo_lastname,0.00013442900999008966
control,random03_top1,median_margin_recovery,13,component,employees_count_total,0.0001240436436529688
,13-18:query->gold_sentence:gold,median_margin_damage_fraction,13,path,employees_count_total,0.01682880187118143
,13-18:query->gold_value:gold,median_margin_damage_fraction,13,path,employees_count_total,0.013720492390164324
,13-18:answer->gold_sentence:gold,median_margin_damage_fraction,13,path,employees_count_total,0.010357921955289355
,13-18:answer->gold_value:gold,median_margin_damage_fraction,13,path,employees_count_total,0.010357921955289355
,13-18:query->gold_sentence:gold,median_margin_damage_fraction,29,path,ceo_lastname,0.003809109855908598
,13-19:answer->gold_sentence:gold,median_margin_damage_fraction,13,path,employees_count_total,0.0022536616020827666
,13-19:answer->gold_value:gold,median_margin_damage_fraction,13,path,employees_count_total,0.0022536616020827666
,13-18:query->gold_value:gold,median_margin_damage_fraction,29,path,ceo_lastname,0.001845660973630188
,13-19:query->gold_sentence:gold,median_margin_damage_fraction,29,path,ceo_lastname,0.0012270034066580622
,14-31:answer->gold_sentence:gold,median_margin_damage_fraction,13,path,employees_count_total,0.0010454280667558946
,14-31:answer->gold_value:gold,median_margin_damage_fraction,13,path,employees_count_total,0.0010454280667558946
,14-0:answer->gold_sentence:gold,median_margin_damage_fraction,13,path,employees_count_total,0.0009671252760248948
,candidate_set,necessity_fraction,29,final_validation,ceo_lastname,0.318980830218042
,qr_top16,necessity_fraction,29,final_validation,ceo_lastname,0.637330397630658
,qr_top2,necessity_fraction,29,final_validation,ceo_lastname,0.318980830218042
,qr_top4,necessity_fraction,29,final_validation,ceo_lastname,0.36020114913708184
,candidate_set,necessity_fraction,13,final_validation,employees_count_total,0.3299855652488627
,qr_top16,necessity_fraction,13,final_validation,employees_count_total,0.45655436015528017
,qr_top2,necessity_fraction,13,final_validation,employees_count_total,0.3299855652488627
,qr_top4,necessity_fraction,13,final_validation,employees_count_total,0.33200693381510704
