alt_idx,answer,answer_label,condition,mean_logprob,num_answer_tokens,source_idx,sum_logprob,task,token_logprobs
29989_1993.txt_employees_count_total_56,4200,original,orig_clean,-3.3897738456726074,2,277821_1993.txt_employees_count_total_156,-6.779547691345215,employees_count_total,"[-6.779158592224121, -0.00038890427094884217]"
29989_1993.txt_employees_count_total_56,4200,original,cf_clean,-8.935688972473145,2,277821_1993.txt_employees_count_total_156,-17.87137794494629,employees_count_total,"[-15.653013229370117, -2.218365430831909]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_clean,-5.057798385620117,2,277821_1993.txt_employees_count_total_156,-10.115596771240234,employees_count_total,"[-10.113950729370117, -0.0016462358180433512]"
29989_1993.txt_employees_count_total_56,4200,original,cf_qr_ablate,-5.600650787353516,2,277821_1993.txt_employees_count_total_156,-11.201301574707031,employees_count_total,"[-8.973101615905762, -2.2281994819641113]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_qr_ablate,-4.464224338531494,2,277821_1993.txt_employees_count_total_156,-8.928448677062988,employees_count_total,"[-8.090289115905762, -0.8381597995758057]"
29989_1993.txt_employees_count_total_56,4200,original,patch_qr,-4.673664569854736,2,277821_1993.txt_employees_count_total_156,-9.347329139709473,employees_count_total,"[-7.874128818511963, -1.4732006788253784]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_qr,-3.451416254043579,2,277821_1993.txt_employees_count_total_156,-6.902832508087158,employees_count_total,"[-6.866316318511963, -0.03651612997055054]"
29989_1993.txt_employees_count_total_56,4200,original,patch_random,-5.590245723724365,2,277821_1993.txt_employees_count_total_156,-11.18049144744873,employees_count_total,"[-8.997724533081055, -2.1827666759490967]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_random,-4.357969284057617,2,277821_1993.txt_employees_count_total_156,-8.715938568115234,employees_count_total,"[-8.091474533081055, -0.624464213848114]"
29989_1993.txt_employees_count_total_56,4200,original,patch_bottom,-5.565106391906738,2,277821_1993.txt_employees_count_total_156,-11.130212783813477,employees_count_total,"[-8.878935813903809, -2.2512764930725098]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_bottom,-4.390120506286621,2,277821_1993.txt_employees_count_total_156,-8.780241012573242,employees_count_total,"[-8.066435813903809, -0.7138051390647888]"
29989_1993.txt_employees_count_total_56,4200,original,patch_same_layer,-5.175756931304932,2,277821_1993.txt_employees_count_total_156,-10.351513862609863,employees_count_total,"[-8.336007118225098, -2.0155065059661865]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_same_layer,-5.270209789276123,2,277821_1993.txt_employees_count_total_156,-10.540419578552246,employees_count_total,"[-7.492257118225098, -3.0481624603271484]"
29989_1993.txt_employees_count_total_56,76200,original,orig_clean,-5.419198513031006,2,732714_1993.txt_employees_count_total_169,-10.838397026062012,employees_count_total,"[-10.838052749633789, -0.00034421717282384634]"
29989_1993.txt_employees_count_total_56,76200,original,cf_clean,-10.729429244995117,2,732714_1993.txt_employees_count_total_169,-21.458858489990234,employees_count_total,"[-19.231077194213867, -2.227780818939209]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_clean,-4.306695938110352,2,732714_1993.txt_employees_count_total_169,-8.613391876220703,employees_count_total,"[-8.606078147888184, -0.0073140948079526424]"
29989_1993.txt_employees_count_total_56,76200,original,cf_qr_ablate,-6.937144756317139,2,732714_1993.txt_employees_count_total_169,-13.874289512634277,employees_count_total,"[-10.541268348693848, -3.333021402359009]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_qr_ablate,-5.39461088180542,2,732714_1993.txt_employees_count_total_169,-10.78922176361084,employees_count_total,"[-7.611580848693848, -3.1776411533355713]"
29989_1993.txt_employees_count_total_56,76200,original,patch_qr,-6.915717601776123,2,732714_1993.txt_employees_count_total_169,-13.831435203552246,employees_count_total,"[-10.474202156066895, -3.3572328090667725]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_qr,-4.283987045288086,2,732714_1993.txt_employees_count_total_169,-8.567974090576172,employees_count_total,"[-6.794515132904053, -1.7734590768814087]"
29989_1993.txt_employees_count_total_56,76200,original,patch_random,-7.244246482849121,2,732714_1993.txt_employees_count_total_169,-14.488492965698242,employees_count_total,"[-11.230445861816406, -3.258047103881836]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_random,-5.2981858253479,2,732714_1993.txt_employees_count_total_169,-10.5963716506958,employees_count_total,"[-7.6523213386535645, -2.9440500736236572]"
29989_1993.txt_employees_count_total_56,76200,original,patch_bottom,-6.918709754943848,2,732714_1993.txt_employees_count_total_169,-13.837419509887695,employees_count_total,"[-10.556377410888672, -3.2810423374176025]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_bottom,-5.362575531005859,2,732714_1993.txt_employees_count_total_169,-10.725151062011719,employees_count_total,"[-7.603251934051514, -3.121898889541626]"
29989_1993.txt_employees_count_total_56,76200,original,patch_same_layer,-6.847314834594727,2,732714_1993.txt_employees_count_total_169,-13.694629669189453,employees_count_total,"[-10.242630958557129, -3.451998710632324]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_same_layer,-5.502642631530762,2,732714_1993.txt_employees_count_total_169,-11.005285263061523,employees_count_total,"[-7.445755958557129, -3.5595293045043945]"
277821_1993.txt_employees_count_total_156,4151,original,orig_clean,-4.040112018585205,2,745287_1993.txt_employees_count_total_38,-8.08022403717041,employees_count_total,"[-8.080177307128906, -4.6967357775429264e-05]"
277821_1993.txt_employees_count_total_156,4151,original,cf_clean,-10.452698707580566,2,745287_1993.txt_employees_count_total_38,-20.905397415161133,employees_count_total,"[-15.582855224609375, -5.322542667388916]"
277821_1993.txt_employees_count_total_156,4200,counterfactual,cf_clean,-2.2406766414642334,2,745287_1993.txt_employees_count_total_38,-4.481353282928467,employees_count_total,"[-4.481292724609375, -6.0437283536884934e-05]"
277821_1993.txt_employees_count_total_156,4151,original,cf_qr_ablate,-6.241885185241699,2,745287_1993.txt_employees_count_total_38,-12.483770370483398,employees_count_total,"[-8.829011917114258, -3.6547579765319824]"
277821_1993.txt_employees_count_total_156,4200,counterfactual,cf_qr_ablate,-4.256764888763428,2,745287_1993.txt_employees_count_total_38,-8.513529777526855,employees_count_total,"[-8.485261917114258, -0.02826758660376072]"
277821_1993.txt_employees_count_total_156,4151,original,patch_qr,-6.235337257385254,2,745287_1993.txt_employees_count_total_38,-12.470674514770508,employees_count_total,"[-9.096055030822754, -3.374619483947754]"
277821_1993.txt_employees_count_total_156,4200,counterfactual,patch_qr,-4.060719013214111,2,745287_1993.txt_employees_count_total_38,-8.121438026428223,employees_count_total,"[-8.119492530822754, -0.0019453902496024966]"
277821_1993.txt_employees_count_total_156,4151,original,patch_random,-6.396353721618652,2,745287_1993.txt_employees_count_total_38,-12.792707443237305,employees_count_total,"[-9.0217924118042, -3.7709155082702637]"
277821_1993.txt_employees_count_total_156,4200,counterfactual,patch_random,-4.242833137512207,2,745287_1993.txt_employees_count_total_38,-8.485666275024414,employees_count_total,"[-8.4592924118042, -0.02637348137795925]"
277821_1993.txt_employees_count_total_156,4151,original,patch_bottom,-6.216413497924805,2,745287_1993.txt_employees_count_total_38,-12.43282699584961,employees_count_total,"[-8.754311561584473, -3.6785151958465576]"
277821_1993.txt_employees_count_total_156,4200,counterfactual,patch_bottom,-4.219393730163574,2,745287_1993.txt_employees_count_total_38,-8.438787460327148,employees_count_total,"[-8.410561561584473, -0.028225518763065338]"
277821_1993.txt_employees_count_total_156,4151,original,patch_same_layer,-6.038410663604736,2,745287_1993.txt_employees_count_total_38,-12.076821327209473,employees_count_total,"[-8.722933769226074, -3.3538875579833984]"
277821_1993.txt_employees_count_total_156,4200,counterfactual,patch_same_layer,-4.079730033874512,2,745287_1993.txt_employees_count_total_38,-8.159460067749023,employees_count_total,"[-8.082308769226074, -0.07715124636888504]"
29989_1993.txt_employees_count_total_56,11500,original,orig_clean,-4.863256454467773,2,36326_1993.txt_employees_count_total_141,-9.726512908935547,employees_count_total,"[-9.726003646850586, -0.0005097282119095325]"
29989_1993.txt_employees_count_total_56,11500,original,cf_clean,-10.803829193115234,2,36326_1993.txt_employees_count_total_141,-21.60765838623047,employees_count_total,"[-19.433950424194336, -2.1737077236175537]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_clean,-4.792007923126221,2,36326_1993.txt_employees_count_total_141,-9.584015846252441,employees_count_total,"[-9.58238697052002, -0.001629335805773735]"
29989_1993.txt_employees_count_total_56,11500,original,cf_qr_ablate,-5.256453990936279,2,36326_1993.txt_employees_count_total_141,-10.512907981872559,employees_count_total,"[-7.633397102355957, -2.8795111179351807]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,cf_qr_ablate,-3.918780565261841,2,36326_1993.txt_employees_count_total_141,-7.837561130523682,employees_count_total,"[-6.586522102355957, -1.2510390281677246]"
29989_1993.txt_employees_count_total_56,11500,original,patch_qr,-5.448029518127441,2,36326_1993.txt_employees_count_total_141,-10.896059036254883,employees_count_total,"[-8.04150390625, -2.854555130004883]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_qr,-3.1588730812072754,2,36326_1993.txt_employees_count_total_141,-6.317746162414551,employees_count_total,"[-6.080565929412842, -0.2371804118156433]"
29989_1993.txt_employees_count_total_56,11500,original,patch_random,-5.328631401062012,2,36326_1993.txt_employees_count_total_141,-10.657262802124023,employees_count_total,"[-7.843539714813232, -2.813722610473633]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_random,-3.797318935394287,2,36326_1993.txt_employees_count_total_141,-7.594637870788574,employees_count_total,"[-6.421664714813232, -1.1729729175567627]"
29989_1993.txt_employees_count_total_56,11500,original,patch_bottom,-5.2245402336120605,2,36326_1993.txt_employees_count_total_141,-10.449080467224121,employees_count_total,"[-7.607719421386719, -2.8413610458374023]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_bottom,-3.920997381210327,2,36326_1993.txt_employees_count_total_141,-7.841994762420654,employees_count_total,"[-6.592094421386719, -1.249900460243225]"
29989_1993.txt_employees_count_total_56,11500,original,patch_same_layer,-5.3081817626953125,2,36326_1993.txt_employees_count_total_141,-10.616363525390625,employees_count_total,"[-7.571220397949219, -3.0451433658599854]"
29989_1993.txt_employees_count_total_56,14400,counterfactual,patch_same_layer,-4.452449321746826,2,36326_1993.txt_employees_count_total_141,-8.904898643493652,employees_count_total,"[-6.532157897949219, -2.3727409839630127]"
103392_1993.txt_employees_count_total_176,35000,original,orig_clean,-5.410964012145996,2,104669_1993.txt_employees_count_total_83,-10.821928024291992,employees_count_total,"[-10.820898056030273, -0.001029557315632701]"
