condition,gold,idx,mean_logprob,num_answer_tokens,position_count,positions,sum_logprob,task,token_logprobs
clean,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[7070, 7071, 7072]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
qr_ablate,Popham,828530_1993.txt_ceo_lastname_113,-1.8895440101623535,3,0,[],-5.6686320304870605,ceo_lastname,"[-5.647923946380615, -0.020056655630469322, -0.0006512666586786509]"
cache_answer,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[7070, 7071, 7072]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_answer,Popham,828530_1993.txt_ceo_lastname_113,-0.49813175201416016,3,3,"[7070, 7071, 7072]",-1.4943952560424805,ceo_lastname,"[-1.4930553436279297, -0.0011842388194054365, -0.00015567521040793508]"
cache_query,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[7053, 7054, 7055]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_query,Popham,828530_1993.txt_ceo_lastname_113,-0.07165460288524628,3,3,"[7053, 7054, 7055]",-0.21496379375457764,ceo_lastname,"[-0.2144513875246048, -0.0004021312633994967, -0.0001102625101339072]"
cache_early_prompt,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[0, 1, 2]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_early_prompt,Popham,828530_1993.txt_ceo_lastname_113,-1.8872623443603516,3,3,"[0, 1, 2]",-5.661787033081055,ceo_lastname,"[-5.641539096832275, -0.019574331119656563, -0.0006739014061167836]"
cache_random_prompt_00,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[428, 714, 2192]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_random_prompt_00,Popham,828530_1993.txt_ceo_lastname_113,-1.8893998861312866,3,3,"[428, 714, 2192]",-5.66819953918457,ceo_lastname,"[-5.647499084472656, -0.020048126578330994, -0.0006521005416288972]"
cache_random_prompt_01,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[46, 2275, 4491]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_random_prompt_01,Popham,828530_1993.txt_ceo_lastname_113,-1.8917665481567383,3,3,"[46, 2275, 4491]",-5.675299644470215,ceo_lastname,"[-5.654616355895996, -0.020039713010191917, -0.0006435230607166886]"
cache_random_prompt_02,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[1822, 1989, 6786]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_random_prompt_02,Popham,828530_1993.txt_ceo_lastname_113,-1.8895100355148315,3,3,"[1822, 1989, 6786]",-5.668529987335205,ceo_lastname,"[-5.64778470993042, -0.02008434757590294, -0.0006607971154153347]"
cache_random_prompt_03,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[493, 4690, 4735]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_random_prompt_03,Popham,828530_1993.txt_ceo_lastname_113,-1.8894059658050537,3,3,"[493, 4690, 4735]",-5.668217658996582,ceo_lastname,"[-5.647756099700928, -0.019810205325484276, -0.0006515049026347697]"
cache_random_prompt_04,Popham,828530_1993.txt_ceo_lastname_113,-0.00048118349513970315,3,3,"[365, 4755, 5111]",-0.001443550456315279,ceo_lastname,"[-0.0014332984574139118, -6.437280717364047e-06, -3.814689989667386e-06]"
patch_random_prompt_04,Popham,828530_1993.txt_ceo_lastname_113,-1.892176866531372,3,3,"[365, 4755, 5111]",-5.676530361175537,ceo_lastname,"[-5.655857086181641, -0.020022187381982803, -0.0006509092636406422]"
clean,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[7097, 7098]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
qr_ablate,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.422463417053223,2,0,[],-8.844926834106445,ceo_lastname,"[-8.783767700195312, -0.061159320175647736]"
cache_answer,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[7097, 7098]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_answer,Goldsmith,201461_1993.txt_ceo_lastname_77,-3.0013673305511475,2,2,"[7097, 7098]",-6.002734661102295,ceo_lastname,"[-6.00121545791626, -0.0015191215788945556]"
cache_query,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[7081, 7082]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_query,Goldsmith,201461_1993.txt_ceo_lastname_77,-1.0202494859695435,2,2,"[7081, 7082]",-2.040498971939087,ceo_lastname,"[-2.0371265411376953, -0.0033724596723914146]"
cache_early_prompt,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[0, 1]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_early_prompt,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.4266462326049805,2,2,"[0, 1]",-8.853292465209961,ceo_lastname,"[-8.79426097869873, -0.059031952172517776]"
cache_random_prompt_00,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[2720, 2931]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_random_prompt_00,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.426884651184082,2,2,"[2720, 2931]",-8.853769302368164,ceo_lastname,"[-8.792525291442871, -0.06124431639909744]"
cache_random_prompt_01,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[522, 6913]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_random_prompt_01,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.427443981170654,2,2,"[522, 6913]",-8.854887962341309,ceo_lastname,"[-8.793782234191895, -0.06110594421625137]"
cache_random_prompt_02,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[1961, 5734]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_random_prompt_02,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.424482345581055,2,2,"[1961, 5734]",-8.84896469116211,ceo_lastname,"[-8.787728309631348, -0.06123613193631172]"
cache_random_prompt_03,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[260, 3965]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_random_prompt_03,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.427369117736816,2,2,"[260, 3965]",-8.854738235473633,ceo_lastname,"[-8.793587684631348, -0.06115046143531799]"
cache_random_prompt_04,Goldsmith,201461_1993.txt_ceo_lastname_77,-0.044459979981184006,2,2,"[3269, 6685]",-0.08891995996236801,ceo_lastname,"[-0.08890684694051743, -1.3112935448589269e-05]"
patch_random_prompt_04,Goldsmith,201461_1993.txt_ceo_lastname_77,-4.423825263977051,2,2,"[3269, 6685]",-8.847650527954102,ceo_lastname,"[-8.786510467529297, -0.06113969907164574]"
clean,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[7144, 7145]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
qr_ablate,Loucks,10456_1993.txt_ceo_lastname_99,-3.307898759841919,2,0,[],-6.615797519683838,ceo_lastname,"[-6.61121940612793, -0.004578108433634043]"
cache_answer,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[7144, 7145]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_answer,Loucks,10456_1993.txt_ceo_lastname_99,-0.8415992259979248,2,2,"[7144, 7145]",-1.6831984519958496,ceo_lastname,"[-1.6831438541412354, -5.4596363042946905e-05]"
cache_query,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[7128, 7129]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_query,Loucks,10456_1993.txt_ceo_lastname_99,-0.8976172804832458,2,2,"[7128, 7129]",-1.7952345609664917,ceo_lastname,"[-1.7938014268875122, -0.0014331794809550047]"
cache_early_prompt,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[0, 1]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_early_prompt,Loucks,10456_1993.txt_ceo_lastname_99,-3.3141794204711914,2,2,"[0, 1]",-6.628358840942383,ceo_lastname,"[-6.624086856842041, -0.00427202507853508]"
cache_random_prompt_00,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[5943, 6005]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_random_prompt_00,Loucks,10456_1993.txt_ceo_lastname_99,-3.3053431510925293,2,2,"[5943, 6005]",-6.610686302185059,ceo_lastname,"[-6.606125831604004, -0.004560664761811495]"
cache_random_prompt_01,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[1378, 4834]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_random_prompt_01,Loucks,10456_1993.txt_ceo_lastname_99,-3.3095884323120117,2,2,"[1378, 4834]",-6.619176864624023,ceo_lastname,"[-6.6146240234375, -0.0045527140609920025]"
cache_random_prompt_02,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[4511, 6989]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_random_prompt_02,Loucks,10456_1993.txt_ceo_lastname_99,-3.3375678062438965,2,2,"[4511, 6989]",-6.675135612487793,ceo_lastname,"[-6.6706132888793945, -0.004522334318608046]"
cache_random_prompt_03,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[855, 3875]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_random_prompt_03,Loucks,10456_1993.txt_ceo_lastname_99,-3.304469585418701,2,2,"[855, 3875]",-6.608939170837402,ceo_lastname,"[-6.604415416717529, -0.004523877054452896]"
cache_random_prompt_04,Loucks,10456_1993.txt_ceo_lastname_99,-0.011746656149625778,2,2,"[482, 7069]",-0.023493312299251556,ceo_lastname,"[-0.023491285741329193, -2.0265558760002023e-06]"
patch_random_prompt_04,Loucks,10456_1993.txt_ceo_lastname_99,-3.310441493988037,2,2,"[482, 7069]",-6.620882987976074,ceo_lastname,"[-6.616393089294434, -0.004489936400204897]"
clean,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[7195, 7196]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
qr_ablate,Leva,77227_1993.txt_ceo_lastname_91,-1.4229563474655151,2,0,[],-2.8459126949310303,ceo_lastname,"[-2.801959753036499, -0.04395284503698349]"
cache_answer,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[7195, 7196]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_answer,Leva,77227_1993.txt_ceo_lastname_91,-0.24180813133716583,2,2,"[7195, 7196]",-0.48361626267433167,ceo_lastname,"[-0.4826238751411438, -0.0009924016194418073]"
cache_query,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[7179, 7180]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_query,Leva,77227_1993.txt_ceo_lastname_91,-0.11254721134901047,2,2,"[7179, 7180]",-0.22509442269802094,ceo_lastname,"[-0.22262032330036163, -0.002474105916917324]"
cache_early_prompt,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[0, 1]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_early_prompt,Leva,77227_1993.txt_ceo_lastname_91,-1.4046499729156494,2,2,"[0, 1]",-2.809299945831299,ceo_lastname,"[-2.7665600776672363, -0.0427398607134819]"
cache_random_prompt_00,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[1339, 2646]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_random_prompt_00,Leva,77227_1993.txt_ceo_lastname_91,-1.4298158884048462,2,2,"[1339, 2646]",-2.8596317768096924,ceo_lastname,"[-2.8159358501434326, -0.04369589686393738]"
cache_random_prompt_01,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[3807, 4600]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_random_prompt_01,Leva,77227_1993.txt_ceo_lastname_91,-1.4164320230484009,2,2,"[3807, 4600]",-2.8328640460968018,ceo_lastname,"[-2.7894327640533447, -0.043431349098682404]"
cache_random_prompt_02,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[733, 3432]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_random_prompt_02,Leva,77227_1993.txt_ceo_lastname_91,-1.4265748262405396,2,2,"[733, 3432]",-2.853149652481079,ceo_lastname,"[-2.809750556945801, -0.04339904710650444]"
cache_random_prompt_03,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[1338, 2729]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_random_prompt_03,Leva,77227_1993.txt_ceo_lastname_91,-1.426889419555664,2,2,"[1338, 2729]",-2.853778839111328,ceo_lastname,"[-2.8107752799987793, -0.04300367832183838]"
cache_random_prompt_04,Leva,77227_1993.txt_ceo_lastname_91,-0.00017514861247036606,2,2,"[1340, 5024]",-0.0003502972249407321,ceo_lastname,"[-0.0003430254873819649, -7.271740287251305e-06]"
patch_random_prompt_04,Leva,77227_1993.txt_ceo_lastname_91,-1.4198648929595947,2,2,"[1340, 5024]",-2.8397297859191895,ceo_lastname,"[-2.7967400550842285, -0.04298963397741318]"
clean,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[7080, 7081]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
qr_ablate,Beard,764764_1993.txt_ceo_lastname_45,-4.5728864669799805,2,0,[],-9.145772933959961,ceo_lastname,"[-8.45230484008789, -0.6934676766395569]"
cache_answer,Beard,764764_1993.txt_ceo_lastname_45,-0.00011061407712986693,2,2,"[7080, 7081]",-0.00022122815425973386,ceo_lastname,"[-0.0002203936892328784, -8.344646857949556e-07]"
patch_answer,Beard,764764_1993.txt_ceo_lastname_45,-1.3934062719345093,2,2,"[7080, 7081]",-2.7868125438690186,ceo_lastname,"[-2.7777910232543945, -0.009021474048495293]"
