head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,rank,task
,31,0.16016254320832587,0.18380302766320245,12,mlp:31,mlp,0.8333333333333334,1,ceo_lastname
,30,0.027365993809562367,0.06491984240009338,12,mlp:30,mlp,0.6666666666666666,2,ceo_lastname
27,24,0.034136604573838054,0.033871567130136185,12,attn:24-27,attn,0.8333333333333334,3,ceo_lastname
27,30,0.047798409688624456,0.03338561375464004,12,attn:30-27,attn,1.0,4,ceo_lastname
,28,0.04631123010530486,0.03153836708724168,12,mlp:28,mlp,0.9166666666666666,5,ceo_lastname
26,30,0.030514547017549815,0.023018043138849344,12,attn:30-26,attn,1.0,6,ceo_lastname
20,27,0.04278887411728425,0.02191554577908644,12,attn:27-20,attn,0.75,7,ceo_lastname
11,29,0.025260809195589953,0.021397115583675883,12,attn:29-11,attn,1.0,8,ceo_lastname
14,30,0.025211709338285617,0.01732400970963642,12,attn:30-14,attn,0.8333333333333334,9,ceo_lastname
5,27,0.01940236460990343,0.01722686873612253,12,attn:27-5,attn,0.8333333333333334,10,ceo_lastname
1,31,0.019736019619951525,0.015835207131962764,12,attn:31-1,attn,1.0,11,ceo_lastname
3,26,0.020985344466825175,0.01557379799165071,12,attn:26-3,attn,1.0,12,ceo_lastname
