condition,head,mean_margin_damage_fraction,median_margin_damage_fraction,n,positive_fraction,source_position_group,target_position_group,task
distractor,13-18,-5.298397745767141e-05,8.52106605698453e-09,29,0.5517241379310345,gold_sentence,answer,ceo_lastname
gold,13-18,0.0007893080536572087,-0.0005225444335180784,29,0.41379310344827586,gold_sentence,answer,ceo_lastname
random,13-18,-6.928054804078706e-05,-1.678634699085982e-08,29,0.4827586206896552,gold_sentence,answer,ceo_lastname
distractor,13-18,-2.6937221810626466e-05,-4.92624816172914e-05,29,0.4482758620689655,gold_sentence,query,ceo_lastname
gold,13-18,0.024420891171862944,0.003809109855908598,29,0.7931034482758621,gold_sentence,query,ceo_lastname
random,13-18,-1.2542144213025866e-05,-2.7977244984766366e-08,29,0.41379310344827586,gold_sentence,query,ceo_lastname
distractor,13-18,5.6527044767846e-05,1.7001177779025593e-05,29,0.6206896551724138,gold_value,answer,ceo_lastname
gold,13-18,0.001098609698262911,0.0001983518090366291,29,0.6551724137931034,gold_value,answer,ceo_lastname
random,13-18,1.274473634534304e-05,-4.503621850874927e-06,29,0.4482758620689655,gold_value,answer,ceo_lastname
distractor,13-18,1.9577008665027157e-05,-7.14433331732398e-05,29,0.41379310344827586,gold_value,query,ceo_lastname
gold,13-18,0.004567060743478374,0.001845660973630188,29,0.7586206896551724,gold_value,query,ceo_lastname
random,13-18,6.368667859342177e-05,-2.238179598781309e-08,29,0.4827586206896552,gold_value,query,ceo_lastname
gold,13-19,0.0007003278601924513,0.0002786922594890573,29,0.6206896551724138,gold_sentence,answer,ceo_lastname
gold,13-19,0.0018661689873116975,0.0012270034066580622,29,0.7931034482758621,gold_sentence,query,ceo_lastname
gold,13-19,0.00038089613504638795,0.0002693615978368381,29,0.6896551724137931,gold_value,answer,ceo_lastname
gold,13-19,0.0003012662498617058,0.00022681547093389602,29,0.6206896551724138,gold_value,query,ceo_lastname
gold,14-0,-0.00014662977498497868,-5.2837211152577196e-05,29,0.41379310344827586,gold_sentence,answer,ceo_lastname
gold,14-0,-0.0005221125771365607,-0.0003940545562987686,29,0.2413793103448276,gold_sentence,query,ceo_lastname
gold,14-0,-0.00011609485758099613,-7.88870833945832e-05,29,0.3793103448275862,gold_value,answer,ceo_lastname
gold,14-0,-5.58203977933511e-05,-0.00010170498289558186,29,0.4482758620689655,gold_value,query,ceo_lastname
distractor,14-31,7.847532933550648e-05,-0.00010770151843669858,29,0.3448275862068966,gold_sentence,answer,ceo_lastname
gold,14-31,0.0005796704365024841,9.726197137425869e-05,29,0.5517241379310345,gold_sentence,answer,ceo_lastname
