alt_answer,alt_idx,answer_token_len,clean_alt_sum_logprob,clean_gold_sum_logprob,clean_margin,corrupted_alt_sum_logprob,corrupted_gold_sum_logprob,corrupted_margin,corrupted_prompt_len,corruption_effect,prompt_len,qr_ablated_gold_sum_logprob,qr_ablation_damage,source_answer,source_idx,task
14400,29989_1993.txt_employees_count_total_56,2,-17.83264923095703,-6.779547691345215,11.053101539611816,-10.115596771240234,-17.87137794494629,-7.755781173706055,7051,18.80888271331787,7051,-9.112504005432129,2.332956314086914,4200,277821_1993.txt_employees_count_total_156,employees_count_total
4200,277821_1993.txt_employees_count_total_156,2,-15.850464820861816,-8.08022403717041,7.770240783691406,-4.481353282928467,-20.905397415161133,-16.424044132232666,7067,24.194284915924072,7067,-8.828685760498047,0.7484617233276367,4151,745287_1993.txt_employees_count_total_38,employees_count_total
3712,103392_1993.txt_employees_count_total_176,2,-24.809253692626953,-11.53015422821045,13.279099464416504,-9.81674861907959,-20.077632904052734,-10.260884284973145,7079,23.53998374938965,7079,-12.96956729888916,1.439413070678711,60400,10456_1993.txt_employees_count_total_98,employees_count_total
35000,716006_1993.txt_employees_count_total_118,2,-17.85455322265625,-7.575310230255127,10.279242992401123,-9.958580017089844,-21.90353012084961,-11.944950103759766,7055,22.22419309616089,7055,-8.304126739501953,0.7288165092468262,5300,34501_1993.txt_employees_count_total_219,employees_count_total
14400,29989_1993.txt_employees_count_total_56,2,-20.463457107543945,-3.9404215812683105,16.523035526275635,-7.68405818939209,-21.22539520263672,-13.541337013244629,7096,30.064372539520264,7096,-11.268245697021484,7.327824115753174,1962,276999_1993.txt_employees_count_total_162,employees_count_total
35000,104669_1993.txt_employees_count_total_83,2,-18.535465240478516,-7.783026218414307,10.752439022064209,-8.822128295898438,-15.508990287780762,-6.686861991882324,7080,17.439301013946533,7080,-10.310216903686523,2.527190685272217,29900,812427_1993.txt_employees_count_total_248,employees_count_total
564,74783_1993.txt_employees_count_total_206,1,-17.926441192626953,-0.004566716495901346,17.921874476131052,-0.00435119541361928,-16.879350662231445,-16.874999466817826,7077,34.79687394294888,7077,-8.574373245239258,8.569806528743356,257,18497_1993.txt_employees_count_total_34,employees_count_total
14400,29989_1993.txt_employees_count_total_56,2,-19.965662002563477,-5.094463348388672,14.871198654174805,-7.804132461547852,-20.01175308227539,-12.207620620727539,7084,27.078819274902344,7084,-9.689814567565918,4.595351219177246,2260,55387_1993.txt_employees_count_total_10,employees_count_total
29900,812427_1993.txt_employees_count_total_248,2,-23.73021697998047,-10.800161361694336,12.930055618286133,-9.16295337677002,-29.1049861907959,-19.94203281402588,7063,32.87208843231201,7063,-15.607016563415527,4.806855201721191,86168,66740_1993.txt_employees_count_total_197,employees_count_total
14400,29989_1993.txt_employees_count_total_56,2,-20.508718490600586,-5.043367385864258,15.465351104736328,-9.969770431518555,-25.685583114624023,-15.715812683105469,7068,31.181163787841797,7068,-9.523165702819824,4.479798316955566,1741,71180_1993.txt_employees_count_total_214,employees_count_total
1741,71180_1993.txt_employees_count_total_214,2,-26.257614135742188,-6.182538032531738,20.07507610321045,-3.37184476852417,-20.839759826660156,-17.467915058135986,7078,37.542991161346436,7078,-8.49698543548584,2.3144474029541016,6101,80661_1993.txt_employees_count_total_29,employees_count_total
29900,812427_1993.txt_employees_count_total_248,2,-20.81819725036621,-4.309882164001465,16.508315086364746,-8.290986061096191,-24.57406234741211,-16.283076286315918,7067,32.791391372680664,7067,-11.900022506713867,7.590140342712402,3570,100923_1993.txt_employees_count_total_189,employees_count_total
51250,18230_1993.txt_employees_count_total_244,2,-26.78696060180664,-6.783641338348389,20.003319263458252,-14.406434059143066,-30.49928855895996,-16.092854499816895,7057,36.09617376327515,7057,-8.784876823425293,2.0012354850769043,4426,277509_1993.txt_employees_count_total_227,employees_count_total
Powell,716006_1993.txt_ceo_lastname_119,2,-16.962257385253906,-0.0017848808784037828,16.960472504375502,-13.79251766204834,-0.0031225853599607944,13.789395076688379,7070,3.1710774276871234,7070,-7.33820915222168,7.336424271343276,Vincent,714655_1993.txt_ceo_lastname_185,ceo_lastname
Newton,55387_1993.txt_ceo_lastname_11,1,-16.380111694335938,-0.028549499809741974,16.351562194526196,-3.3986785411834717,-0.10180342942476273,3.296875111758709,7070,13.054687082767487,7070,-6.074441432952881,6.045891933143139,Jones,310431_1993.txt_ceo_lastname_70,ceo_lastname
Goodes,104669_1993.txt_ceo_lastname_84,2,-23.479026794433594,-0.023493312299251556,23.455533482134342,-4.841726303100586,-0.07595506310462952,4.765771239995956,7145,18.689762242138386,7145,-6.615797519683838,6.592304207384586,Loucks,10456_1993.txt_ceo_lastname_99,ceo_lastname
Zandman,103730_1993.txt_ceo_lastname_6,3,-30.25255584716797,-0.001443550456315279,30.251112296711653,-11.068216323852539,-0.0016087628901004791,11.066607560962439,7071,19.184504735749215,7071,-5.6686320304870605,5.667188480030745,Popham,828530_1993.txt_ceo_lastname_113,ceo_lastname
Powell,716006_1993.txt_ceo_lastname_119,2,-11.544851303100586,-0.02517988160252571,11.51967142149806,-0.04200000688433647,-3.2615153789520264,-3.21951537206769,7014,14.73918679356575,7014,-9.097454071044922,9.072274189442396,Peterson,859257_1993.txt_ceo_lastname_146,ceo_lastname
Peterson,859257_1993.txt_ceo_lastname_146,2,-13.955127716064453,-1.9486759901046753,12.006451725959778,-0.8016228675842285,-14.708456039428711,-13.906833171844482,7075,25.91328489780426,7075,-7.678776741027832,5.730100750923157,Liu,52485_1993.txt_ceo_lastname_222,ceo_lastname
Thomas,36326_1993.txt_ceo_lastname_142,1,-13.674251556396484,-0.0023761154152452946,13.671875440981239,-0.9127492904663086,-0.5377492904663086,0.375,7071,13.296875440981239,7071,-9.367043495178223,9.364667379762977,Newton,55387_1993.txt_ceo_lastname_11,ceo_lastname
Craig,40454_1993.txt_ceo_lastname_90,1,-14.751358985900879,-0.001358658540993929,14.750000327359885,-2.394671678543091,-0.11342170834541321,2.2812499701976776,7077,12.468750357162207,7077,-5.4960198402404785,5.494661181699485,Ross,277509_1993.txt_ceo_lastname_228,ceo_lastname
Beard,764764_1993.txt_ceo_lastname_45,2,-17.53479766845703,-1.316264271736145,16.218533396720886,-0.0029916095081716776,-16.832056045532227,-16.829064436024055,7079,33.04759783274494,7079,-10.946531295776367,9.630267024040222,Drew,812427_1993.txt_ceo_lastname_249,ceo_lastname
Goldsmith,201461_1993.txt_ceo_lastname_77,2,-19.732280731201172,-0.00016425843932665884,19.732116472761845,-0.00040296957013197243,-22.315507888793945,-22.315104919223813,7069,42.04722139198566,7069,-8.676788330078125,8.676624071638798,Coon,74783_1993.txt_ceo_lastname_207,ceo_lastname
Leva,77227_1993.txt_ceo_lastname_91,2,-24.534244537353516,-0.0004108435823582113,24.533833693771157,-0.02638949081301689,-3.6825833320617676,-3.6561938412487507,7048,28.190027535019908,7048,-10.66861343383789,10.668202590255532,Allender,34501_1993.txt_ceo_lastname_220,ceo_lastname
Thomas,36326_1993.txt_ceo_lastname_142,1,-14.079253196716309,-0.001128394273109734,14.078124802443199,-0.0014019908849149942,-11.509214401245117,-11.507812410360202,7110,25.5859372128034,7110,-5.897104263305664,5.895975869032554,Jones,821480_1993.txt_ceo_lastname_240,ceo_lastname
Will,7383_1993.txt_ceo_lastname_24,1,-15.574254989624023,-0.003942100331187248,15.570312889292836,-2.1362099647521973,-0.16745994985103607,1.9687500149011612,7068,13.601562874391675,7068,-8.71139144897461,8.707449348643422,Craig,40454_1993.txt_ceo_lastname_90,ceo_lastname
Jones,310431_1993.txt_ceo_lastname_70,1,-12.07085132598877,-1.3052266836166382,10.765624642372131,-0.22010530531406403,-10.759167671203613,-10.53906236588955,7080,21.30468700826168,7080,-8.85802173614502,7.552795052528381,Will,7383_1993.txt_ceo_lastname_24,ceo_lastname
Leva,77227_1993.txt_ceo_lastname_91,2,-24.55315399169922,-0.0007974327891133726,24.552356558910105,-13.084789276123047,-0.0008353107259608805,13.083953965397086,7061,11.46840259351302,7061,-7.232852458953857,7.232055026164744,Mathews,745287_1993.txt_ceo_lastname_39,ceo_lastname
Popham,828530_1993.txt_ceo_lastname_113,3,-20.64960289001465,-0.003006146289408207,20.64659674372524,-0.0035437403712421656,-14.645682334899902,-14.64213859452866,7090,35.2887353382539,7090,-7.3411760330200195,7.338169886730611,Gressette,754737_1993.txt_ceo_lastname_200,ceo_lastname
Jones,310431_1993.txt_ceo_lastname_70,1,-11.95478630065918,-0.0016608743462711573,11.953125426312909,-0.18234743177890778,-1.8229724168777466,-1.6406249850988388,7084,13.593750411411747,7084,-7.01781702041626,7.016156146069989,Thomas,36326_1993.txt_ceo_lastname_142,ceo_lastname
Vincent,714655_1993.txt_ceo_lastname_185,2,-16.799585342407227,-0.002582140499725938,16.7970032019075,-0.019486047327518463,-17.64139747619629,-17.62191142886877,7075,34.41891463077627,7075,-6.818796157836914,6.816214017337188,Ferguson,732714_1993.txt_ceo_lastname_170,ceo_lastname
Peterson,865227_1993.txt_ceo_lastname_51,2,-19.802248001098633,-0.00022122815425973386,19.802026772944373,-0.43941837549209595,-1.0487921237945557,-0.6093737483024597,7081,20.411400521246833,7081,-9.145772933959961,9.145551705805701,Beard,764764_1993.txt_ceo_lastname_45,ceo_lastname
Loucks,10456_1993.txt_ceo_lastname_99,2,-21.7593994140625,-0.0014793910086154938,21.757920023053885,-0.40364494919776917,-1.153667688369751,-0.7500227391719818,7073,22.507942762225866,7073,-7.2765960693359375,7.275116678327322,Stonecipher,53347_1993.txt_ceo_lastname_105,ceo_lastname
Bogle,801124_1993.txt_ceo_lastname_134,2,-22.78704071044922,-0.0007475343300029635,22.786293176119216,-0.0001643818977754563,-22.681177139282227,-22.68101275738445,7070,45.46730593350367,7070,-10.220009803771973,10.21926226944197,Lenzie,71180_1993.txt_ceo_lastname_215,ceo_lastname
Allender,34501_1993.txt_ceo_lastname_220,2,-16.960506439208984,-0.14791369438171387,16.81259274482727,-0.05779143050312996,-15.710870742797852,-15.653079312294722,7120,32.46567205712199,7120,-7.745300769805908,7.597387075424194,McCraw,37748_1993.txt_ceo_lastname_63,ceo_lastname
Coon,74783_1993.txt_ceo_lastname_207,2,-24.75757598876953,-0.0003502972249407321,24.75722569154459,-7.361560821533203,-0.0019043772481381893,7.359656444285065,7196,17.397569247259526,7196,-2.8459126949310303,2.8455623977060895,Leva,77227_1993.txt_ceo_lastname_91,ceo_lastname
Liu,52485_1993.txt_ceo_lastname_222,2,-20.858516693115234,-0.0003692445170599967,20.858147448598174,-2.5082240104675293,-0.08623424917459488,2.4219897612929344,7064,18.43615768730524,7064,-10.596370697021484,10.596001452504424,Powell,716006_1993.txt_ceo_lastname_119,ceo_lastname
Stonecipher,53347_1993.txt_ceo_lastname_105,2,-18.98422622680664,-0.24078139662742615,18.743444830179214,-0.21909646689891815,-21.759851455688477,-21.54075498878956,7102,40.28419981896877,7102,-14.665236473083496,14.42445507645607,Goodes,104669_1993.txt_ceo_lastname_84,ceo_lastname
Goldsmith,201461_1993.txt_ceo_lastname_77,2,-17.095428466796875,-0.0017918351804837584,17.09363663161639,-0.000920365855563432,-12.971142768859863,-12.9702224030043,6817,30.06385903462069,6817,-4.772668361663818,4.770876526483335,Bogle,801124_1993.txt_ceo_lastname_134,ceo_lastname
Vincent,714655_1993.txt_ceo_lastname_185,2,-14.676689147949219,-0.027208643034100533,14.649480504915118,-0.1371903270483017,-2.122030019760132,-1.9848396927118301,7005,16.63432019762695,7005,-8.118108749389648,8.090900106355548,Peterson,865227_1993.txt_ceo_lastname_51,ceo_lastname
Gressette,754737_1993.txt_ceo_lastname_200,3,-29.134258270263672,-0.0012001722352579236,29.133058098028414,-0.3366226553916931,-1.3830190896987915,-1.0463964343070984,7080,30.179454532335512,7080,-3.951310157775879,3.950109985540621,Zandman,103730_1993.txt_ceo_lastname_6,ceo_lastname
Popham,828530_1993.txt_ceo_lastname_113,3,-30.28401756286621,-0.006844416726380587,30.27717314613983,-0.2949281334877014,-1.466665267944336,-1.1717371344566345,7081,31.448910280596465,7081,-6.895061016082764,6.888216599356383,Pritzker,100923_1993.txt_ceo_lastname_190,ceo_lastname
